SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;currentLocation;intersectionLocation;errAngle;errDistance;
1513353121.7198;1513353121.7198;1513353121.719844;15.37186656553619;184.1933504601446;0.03032349437603954;0.3696852199896405;
1513353121.73056;1513353121.73056;1513353121.730654;15.55028212313224;184.1933504601446;0.0302138930959599;0.3732672721352319;
1513353121.739617;1513353121.739617;1513353121.739674;15.63968301950015;184.1933504601446;0.0301582463216149;0.3750488885869617;
1513353121.749605;1513353121.749605;1513353121.749653;15.72921178565036;184.1933504601446;0.03010204469760813;0.3768241415168678;
1513353121.759607;1513353121.759607;1513353121.759648;15.81886778236463;184.1933504601446;0.03004529545892493;0.3785929649048401;
1513353121.769609;1513353121.769609;1513353121.769673;15.90865030663957;184.1933504601446;0.02998800580928129;0.3803552922223943;
1513353121.779618;1513353121.779618;1513353121.779684;15.99855866238877;184.1933504601446;0.02993018286883042;0.3821110577608022;
1513353121.789599;1513353121.789599;1513353121.789638;16.08859216009926;184.1933504601446;0.02987183367591401;0.3838601966256359;
1513353121.79962;1513353121.79962;1513353121.799687;16.17875011651873;184.1933504601446;0.02981296518931359;0.3856026447322324;
1513353121.809614;1513353121.809614;1513353121.809652;16.26903185437165;184.1933504601446;0.02975358429014435;0.3873383388008486;
1513353121.819596;1513353121.819596;1513353121.819655;16.35943676408735;184.1933504601446;0.02969369773433939;0.3890672174769374;
1513353121.829609;1513353121.829609;1513353121.829647;16.44996423503922;184.1933504601446;0.02963331220801191;0.3907892200752532;
1513353121.839601;1513353121.839601;1513353121.839646;16.54061359464177;184.1933504601446;0.02957243438001478;0.3925042854889652;
1513353121.849594;1513353121.849594;1513353121.849645;16.63138417649713;184.1933504601446;0.02951107084668625;0.3942123534139235;
1513353121.859595;1513353121.859595;1513353121.859659;16.72227538081649;184.1933504601446;0.02944922808235489;0.3959133654164013;
1513353121.869612;1513353121.869612;1513353121.869671;16.81328654667837;184.1933504601446;0.02938691254843423;0.397607262673723;
1513353121.879623;1513353121.879623;1513353121.879688;16.81328654667837;184.1933504601446;0.02938691254843423;0.397607262673723;
1513353121.889605;1513353121.889605;1513353121.889643;16.99566638294946;184.1933504601446;0.02926088847677283;0.4009734857088245;
1513353121.899788;1513353121.899788;1513353121.899838;17.08703386214595;184.1933504601446;0.02919719243643104;0.4026456995463297;
1513353121.909596;1513353121.909596;1513353121.909634;17.17851892118044;184.1933504601446;0.02913304808077688;0.4043105739608404;
1513353121.919585;1513353121.919585;1513353121.919623;17.27012096478108;184.1933504601446;0.02906846157635756;0.4059680547809624;
1513353121.929605;1513353121.929605;1513353121.929644;17.36183933974691;184.1933504601446;0.02900343907400132;0.4076180875116917;
1513353121.939604;1513353121.939604;1513353121.939643;17.45367339989048;184.1933504601446;0.02893798665440184;0.4092606184406653;
1513353121.949618;1513353121.949618;1513353121.949683;17.54562250565996;184.1933504601446;0.02887211032908904;0.4108955946311104;
1513353121.959606;1513353121.959606;1513353121.959645;17.63768602379566;184.1933504601446;0.02880581604202087;0.4125229639158968;
1513353121.969597;1513353121.969597;1513353121.969634;17.7298633843134;184.1933504601446;0.02873910961903403;0.4141426758349177;
1513353121.979713;1513353121.979713;1513353121.97975;17.82215395990109;184.1933504601446;0.02867199688019217;0.4157546796509317;
1513353121.989783;1513353121.989783;1513353121.989858;17.82215395990109;184.1933504601446;0.02867199688019217;0.4157546796509317;
1513353121.999598;1513353121.999598;1513353121.999636;18.00707227666058;184.1933504601446;0.02853657542000243;0.4189553638212359;
1513353122.00973;1513353122.00973;1513353122.009769;18.09969884806934;184.1933504601446;0.02846827797537965;0.4205439473772735;
1513353122.019578;1513353122.019578;1513353122.019616;18.19243628861885;184.1933504601446;0.02839959619327198;0.4221246282556521;
1513353122.029599;1513353122.029599;1513353122.029638;18.28528398762873;184.1933504601446;0.02833053567562344;0.4236973594008985;
1513353122.039599;1513353122.039599;1513353122.039637;18.3782413402108;184.1933504601446;0.02826110195791354;0.4252620944848997;
1513353122.04961;1513353122.04961;1513353122.049654;18.47130774699336;184.1933504601446;0.02819130051213925;0.4268187879045597;
1513353122.0596;1513353122.0596;1513353122.059637;18.56448261386966;184.1933504601446;0.02812113674861039;0.4283673947777312;
1513353122.069609;1513353122.069609;1513353122.069671;18.65776535176899;184.1933504601446;0.02805061601668202;0.429907870937607;
1513353122.079617;1513353122.079617;1513353122.079679;18.75115537644724;184.1933504601446;0.02797974360695332;0.4314401729293637;
1513353122.08962;1513353122.08962;1513353122.089686;18.84465210829598;184.1933504601446;0.027908524752362;0.432964258005239;
1513353122.099613;1513353122.099613;1513353122.099652;18.93825497216834;184.1933504601446;0.02783696463070751;0.4344800841218227;
1513353122.109605;1513353122.109605;1513353122.109642;19.03196339722109;184.1933504601446;0.02776506836442449;0.4359876099334001;
1513353122.119594;1513353122.119594;1513353122.11963;19.12577681676954;184.1933504601446;0.0276928410227319;0.4374867947888976;
1513353122.129596;1513353122.129596;1513353122.129633;19.21969466815411;184.1933504601446;0.02762028762268554;0.4389775987272965;
1513353122.139596;1513353122.139596;1513353122.139633;19.31371644490644;184.1933504601446;0.02754741307632658;0.4404599832314505;
1513353122.149608;1513353122.149608;1513353122.149654;19.31371644490644;184.1933504601446;0.02754741307632658;0.4404599832314505;
1513353122.159598;1513353122.159598;1513353122.159681;19.50206953793664;184.1933504601446;0.0274007201832876;0.4433993399447044;
1513353122.169587;1513353122.169587;1513353122.169627;19.59639974625268;184.1933504601446;0.02732691153124284;0.4448562368571291;
1513353122.179638;1513353122.179638;1513353122.1797;19.59639974625268;184.1933504601446;0.02732691153124284;0.4448562368571291;
1513353122.18961;1513353122.18961;1513353122.189672;19.78536474620047;184.1933504601446;0.02717839187117499;0.4477442819000251;
1513353122.19963;1513353122.19963;1513353122.199702;19.87999845304021;184.1933504601446;0.02710369042119226;0.4491753589679668;
1513353122.209603;1513353122.209603;1513353122.209642;19.9747322473275;184.1933504601446;0.02702870019833525;0.4505977584789532;
1513353122.2196;1513353122.2196;1513353122.219643;20.06956559560491;184.1933504601446;0.02695342592877753;0.4520114466246102;
1513353122.229659;1513353122.229659;1513353122.22972;20.16449801767639;184.1933504601446;0.02687787222591842;0.4534163908881807;
1513353122.239601;1513353122.239601;1513353122.239638;20.2595290314366;184.1933504601446;0.02680204365387179;0.454812559299734;
1513353122.249593;1513353122.249593;1513353122.249632;20.35465810398784;184.1933504601446;0.02672594478084422;0.4561999197856875;
1513353122.259635;1513353122.259635;1513353122.259696;20.44988470653687;184.1933504601446;0.02664958012147062;0.4575784409010069;
1513353122.269592;1513353122.269592;1513353122.26963;20.54520836308155;184.1933504601446;0.02657295408527338;0.4589480924633609;
1513353122.279593;1513353122.279593;1513353122.27963;20.64062859629735;184.1933504601446;0.02649607103823054;0.4603088448438503;
1513353122.289598;1513353122.289598;1513353122.289637;20.7361449279321;184.1933504601446;0.02641893530266898;0.4616606689687392;
1513353122.299618;1513353122.299618;1513353122.29968;20.83175687913501;184.1933504601446;0.02634155115875969;0.4630035363226392;
1513353122.309615;1513353122.309615;1513353122.309653;20.92746392289653;184.1933504601446;0.02626392289896795;0.4643374183492202;
1513353122.319616;1513353122.319616;1513353122.31967;21.0232655371965;184.1933504601446;0.02618605476868419;0.4656622871202125;
1513353122.329605;1513353122.329605;1513353122.329662;21.11916120476723;184.1933504601446;0.02610795096713503;0.4669781153304406;
1513353122.339614;1513353122.339614;1513353122.339677;21.21515045997395;184.1933504601446;0.02602961559682399;0.4682848768712261;
1513353122.349619;1513353122.349619;1513353122.349678;21.31123283655417;184.1933504601446;0.02595105272272108;0.4695825461834205;
1513353122.359661;1513353122.359661;1513353122.359723;21.40740782132958;184.1933504601446;0.0258722664263869;0.470871097699894;
1513353122.369588;1513353122.369588;1513353122.369628;21.50367490596871;184.1933504601446;0.02579326074708277;0.4721505064672417;
1513353122.379667;1513353122.379667;1513353122.379724;21.6000336328767;184.1933504601446;0.02571403963019203;0.4734207486840901;
1513353122.389584;1513353122.389584;1513353122.389621;21.69648349813404;184.1933504601446;0.02563460703891585;0.4746818005556894;
1513353122.399623;1513353122.399623;1513353122.399682;21.79302400247618;184.1933504601446;0.02555496689697151;0.4759336388905938;
1513353122.409599;1513353122.409599;1513353122.409638;21.88965465107828;184.1933504601446;0.02547512308919647;0.4771762410951034;
1513353122.419602;1513353122.419602;1513353122.41964;21.98637495335921;184.1933504601446;0.02539507946124853;0.4784095851664905;
1513353122.429613;1513353122.429613;1513353122.429675;22.08318442280326;184.1933504601446;0.02531483982252281;0.4796336496911367;
1513353122.439603;1513353122.439603;1513353122.439643;22.18008257679682;184.1933504601446;0.02523440794470355;0.4808484138362957;
1513353122.449601;1513353122.449601;1513353122.449689;22.27706893647964;184.1933504601446;0.02515378756365044;0.4820538573469471;
1513353122.459593;1513353122.459593;1513353122.459631;22.37414302660966;184.1933504601446;0.02507298238025024;0.4832499605412314;
1513353122.469596;1513353122.469596;1513353122.469634;22.47130437543916;184.1933504601446;0.02499199606033831;0.4844367043046202;
1513353122.479611;1513353122.479611;1513353122.479691;22.56855251460084;184.1933504601446;0.0249108322362056;0.4856140700865544;
1513353122.489594;1513353122.489594;1513353122.489633;22.66588702246186;184.1933504601446;0.02482949445498756;0.486782040352844;
1513353122.499598;1513353122.499598;1513353122.499634;22.76330743276812;184.1933504601446;0.0247479862889956;0.4879405976217719;
1513353122.509594;1513353122.509594;1513353122.509696;22.86081328277351;184.1933504601446;0.02466631127764907;0.4890897249642934;
1513353122.519594;1513353122.519594;1513353122.519632;22.95840411312057;184.1933504601446;0.02458447292781579;0.4902294059991464;
1513353122.529601;1513353122.529601;1513353122.529647;23.05607951028388;184.1933504601446;0.02450247466330624;0.4913596253178339;
1513353122.539613;1513353122.539613;1513353122.539662;23.15383905943392;184.1933504601446;0.0244203198839868;0.492480368004325;
1513353122.549592;1513353122.549592;1513353122.549631;23.25168234479607;184.1933504601446;0.0243380119634215;0.4935916196311112;
1513353122.559587;1513353122.559587;1513353122.559624;23.34960890803897;184.1933504601446;0.02425555430113358;0.4946933658515351;
1513353122.569612;1513353122.569612;1513353122.569676;23.44761829485432;184.1933504601446;0.02417295026426391;0.4957855928514661;
1513353122.579574;1513353122.579574;1513353122.579617;23.54571009625961;184.1933504601446;0.02409020313840277;0.49686828774138;
1513353122.589585;1513353122.589585;1513353122.589622;23.64388386133769;184.1933504601446;0.02400731623562435;0.4979414377234639;
1513353122.599613;1513353122.599613;1513353122.599692;23.7421391431103;184.1933504601446;0.02392429283640768;0.4990050305208366;
1513353122.609818;1513353122.609818;1513353122.609875;23.84047553919129;184.1933504601446;0.02384113614237904;0.5000590547521755;
1513353122.619611;1513353122.619611;1513353122.619648;23.93889264650457;184.1933504601446;0.02375784933121922;0.501103499506209;
1513353122.629615;1513353122.629615;1513353122.629673;24.03739006157462;184.1933504601446;0.02367443555729687;0.5021383543415727;
1513353122.639579;1513353122.639579;1513353122.639618;24.13596738076713;184.1933504601446;0.02359089795143227;0.5031636092849795;
1513353122.649598;1513353122.649598;1513353122.649634;24.23462416050523;184.1933504601446;0.02350723966963952;0.504179254477731;
1513353122.659598;1513353122.659598;1513353122.659636;24.33335996166507;184.1933504601446;0.02342346383755922;0.5051852805642553;
1513353122.669598;1513353122.669598;1513353122.669635;24.4321743493509;184.1933504601446;0.02333957355253796;0.5061816786896967;
1513353122.679615;1513353122.679615;1513353122.679678;24.53106689269033;184.1933504601446;0.02325557188224786;0.5071684404924363;
1513353122.689602;1513353122.689602;1513353122.689643;24.63003716464881;184.1933504601446;0.02317146186664393;0.5081455581016708;
1513353122.699602;1513353122.699602;1513353122.699655;24.7290847418598;184.1933504601446;0.0230872465172835;0.5091130241311457;
1513353122.709618;1513353122.709618;1513353122.709684;24.82820920447064;184.1933504601446;0.023002928819914;0.5100708316778222;
1513353122.719628;1513353122.719628;1513353122.719695;24.82820920447064;184.1933504601446;0.023002928819914;0.5100708316778222;
1513353122.729577;1513353122.729577;1513353122.729644;24.92741013600152;184.1933504601446;0.02291851173274656;0.511018974314235;
1513353122.739609;1513353122.739609;1513353122.739649;25.12603975600807;184.1933504601446;0.02274939109306595;0.5128862415075596;
1513353122.749613;1513353122.749613;1513353122.749682;25.22546766517727;184.1933504601446;0.02266469255015174;0.513805354762811;
1513353122.759614;1513353122.759614;1513353122.759657;25.32497044277467;184.1933504601446;0.02257990477704919;0.514714780302664;
1513353122.769891;1513353122.769891;1513353122.76996;25.42454768403653;184.1933504601446;0.02249503077550913;0.5156145142281915;
1513353122.779607;1513353122.779607;1513353122.779646;25.52419902456924;184.1933504601446;0.02241007345959606;0.516504553333637;
