SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;velocity;
1510748177.312955;1510748177.312955;1510748177.313064;8.33;
1510748177.411976;1510748177.411976;1510748177.412086;8.33;
1510748177.511968;1510748177.511968;1510748177.512169;8.33;
1510748177.613587;1510748177.613587;1510748177.613822;8.33;
1510748177.716885;1510748177.716885;1510748177.716962;8.33;
1510748177.813456;1510748177.813456;1510748177.813571;8.33;
1510748177.910627;1510748177.910627;1510748177.910732;8.33;
1510748178.010572;1510748178.010572;1510748178.010681;8.33;
1510748178.111032;1510748178.111032;1510748178.111154;8.33;
1510748178.211592;1510748178.211592;1510748178.212009;8.33;
1510748178.310344;1510748178.310344;1510748178.310449;8.33;
1510748178.410492;1510748178.410492;1510748178.410591;8.33;
1510748178.513305;1510748178.513305;1510748178.513496;8.33;
1510748178.611949;1510748178.611949;1510748178.612272;8.33;
1510748178.711861;1510748178.711861;1510748178.712434;8.33;
1510748178.8123;1510748178.8123;1510748178.812987;8.33;
1510748178.915521;1510748178.915521;1510748178.916016;8.33;
1510748179.01281;1510748179.01281;1510748179.012937;8.33;
1510748179.110724;1510748179.110724;1510748179.110862;8.33;
1510748179.213628;1510748179.213628;1510748179.213722;8.33;
1510748179.311439;1510748179.311439;1510748179.311541;8.33;
1510748179.410756;1510748179.410756;1510748179.410959;8.33;
1510748179.511993;1510748179.511993;1510748179.512102;8.33;
1510748179.610383;1510748179.610383;1510748179.610486;8.33;
1510748179.710275;1510748179.710275;1510748179.710382;8.33;
1510748179.810285;1510748179.810285;1510748179.810423;8.33;
1510748179.910218;1510748179.910218;1510748179.910282;8.33;
1510748180.010217;1510748180.010217;1510748180.010285;8.33;
1510748180.111979;1510748180.111979;1510748180.112091;8.33;
1510748180.210413;1510748180.210413;1510748180.210538;8.33;
