SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;latitude;longitude;
1513176479.785671;1513176479.785671;1513176479.785894;57.773319794892;12.76731364460844;
1513176479.802125;1513176479.802125;1513176479.802839;57.77331870201444;12.76732048724831;
1513176479.817856;1513176479.817856;1513176479.817955;57.77331760583354;12.7673273538118;
1513176479.835261;1513176479.835261;1513176479.835364;57.77331650589669;12.76733424229314;
1513176479.859215;1513176479.859215;1513176479.859908;57.77331540347604;12.76734115290896;
1513176479.874295;1513176479.874295;1513176479.874477;57.77331429769286;12.76734808678507;
1513176479.888536;1513176479.888536;1513176479.888642;57.77331318812207;12.76735504262551;
1513176479.901281;1513176479.901281;1513176479.901398;57.77331207436497;12.76736201857112;
1513176479.956898;1513176479.956898;1513176479.957008;57.77331095660471;12.76736901487377;
1513176480.038781;1513176480.038781;1513176480.039805;57.7733098367367;12.76737603113419;
1513176480.07359;1513176480.07359;1513176480.074794;57.77330871441445;12.76738306685934;
1513176480.149126;1513176480.149126;1513176480.149247;57.77330758855689;12.76739012194498;
1513176480.210502;1513176480.210502;1513176480.210641;57.77330645957932;12.76739719674589;
1513176480.221227;1513176480.221227;1513176480.222399;57.77330532574933;12.76740429067701;
1513176480.246853;1513176480.246853;1513176480.24727;57.77330418773551;12.76741140401816;
1513176480.260492;1513176480.260492;1513176480.260596;57.77330304740903;12.76741853518959;
1513176480.280158;1513176480.280158;1513176480.280252;57.77330190417299;12.76742568602958;
1513176480.297066;1513176480.297066;1513176480.297169;57.77330075709682;12.76743285457243;
1513176480.31406;1513176480.31406;1513176480.314179;57.77329960350357;12.76744003835546;
1513176480.453153;1513176480.453153;1513176480.453287;57.77329786938198;12.76745084486254;
1513176480.532718;1513176480.532718;1513176480.532826;57.77329671006434;12.76745806872859;
1513176480.615134;1513176480.615134;1513176480.615242;57.77329554809441;12.76746530869702;
1513176480.68021;1513176480.68021;1513176480.680328;57.77329438470691;12.76747256479791;
1513176480.700379;1513176480.700379;1513176480.700482;57.77329263290108;12.76748347884585;
1513176480.713322;1513176480.713322;1513176480.713437;57.77329146189284;12.76749077534835;
1513176480.726174;1513176480.726174;1513176480.726291;57.7732902888527;12.76749808796854;
1513176480.738129;1513176480.738129;1513176480.738231;57.77328911397162;12.76750541406739;
1513176480.753345;1513176480.753345;1513176480.75345;57.77328734648474;12.76751642206073;
1513176480.784076;1513176480.784076;1513176480.784435;57.77328616585978;12.76752377384775;
1513176480.862697;1513176480.862697;1513176480.86285;57.77328498325699;12.7675311364921;
1513176480.943767;1513176480.943767;1513176480.943899;57.77328379803435;12.76753851031208;
1513176481.024178;1513176481.024178;1513176481.024537;57.77328261148183;12.76754589587747;
1513176481.059971;1513176481.059971;1513176481.060075;57.77328142389909;12.76755329239683;
1513176481.118558;1513176481.118558;1513176481.119056;57.77328023446616;12.76756070018643;
1513176481.152592;1513176481.152592;1513176481.1527;57.77327904229293;12.76756811790664;
1513176481.211659;1513176481.211659;1513176481.211762;57.77327784677274;12.76757554431273;
1513176481.240663;1513176481.240663;1513176481.240759;57.77327664844628;12.76758297863222;
1513176481.293393;1513176481.293393;1513176481.29352;57.77327544880548;12.76759041964794;
1513176481.32775;1513176481.32775;1513176481.327848;57.77327424961558;12.76759786737433;
1513176481.341306;1513176481.341306;1513176481.341423;57.77327304901912;12.76760531889656;
1513176481.3679;1513176481.3679;1513176481.368031;57.77327184811388;12.76761277374472;
1513176481.392553;1513176481.392553;1513176481.392665;57.77327064580716;12.7676202315896;
1513176481.485653;1513176481.485653;1513176481.485762;57.77326944813229;12.76762768955143;
1513176481.51115;1513176481.51115;1513176481.511257;57.7732688489697;12.76763141898139;
1513176481.572714;1513176481.572714;1513176481.572821;57.77326765016156;12.7676388800992;
1513176481.602472;1513176481.602472;1513176481.602599;57.77326645023094;12.76764634135835;
1513176481.618164;1513176481.618164;1513176481.618284;57.7732652499499;12.7676538009562;
1513176481.645374;1513176481.645374;1513176481.64612;57.77326405014824;12.76766125922688;
1513176481.6665;1513176481.6665;1513176481.66668;57.77326345050024;12.76766498789505;
1513176481.686434;1513176481.686434;1513176481.686537;57.77326225238514;12.76767244300648;
1513176481.701443;1513176481.701443;1513176481.701548;57.77326105319242;12.7676798935099;
1513176481.707822;1513176481.707822;1513176481.707923;57.77325985365209;12.76768734028998;
1513176481.743382;1513176481.743382;1513176481.743662;57.77325865324853;12.76769478300393;
1513176481.819068;1513176481.819068;1513176481.819173;57.77325745376599;12.76770222326275;
1513176481.899272;1513176481.899272;1513176481.899379;57.77325625359479;12.76770966209451;
1513176481.979134;1513176481.979134;1513176481.979237;57.77325505401312;12.7677170989066;
1513176482.025823;1513176482.025823;1513176482.025949;57.77325385307405;12.76772453325469;
1513176482.068041;1513176482.068041;1513176482.071706;57.77325265214579;12.76773196610255;
1513176482.104316;1513176482.104316;1513176482.104424;57.77325145209748;12.76773939551483;
1513176482.135427;1513176482.135427;1513176482.135529;57.77325025351929;12.76774682303868;
1513176482.167001;1513176482.167001;1513176482.16821;57.77324905475349;12.76775424654303;
1513176482.197627;1513176482.197627;1513176482.197731;57.77324785586074;12.76776166584989;
1513176482.228932;1513176482.228932;1513176482.229033;57.77324665767304;12.76776908114696;
1513176482.24314;1513176482.24314;1513176482.243251;57.77324546048189;12.76777649314398;
1513176482.259835;1513176482.259835;1513176482.259971;57.7732442646079;12.76778390107653;
1513176482.273093;1513176482.273093;1513176482.273198;57.77324306850797;12.76779130581462;
1513176482.338398;1513176482.338398;1513176482.338517;57.77324187281173;12.76779870693059;
1513176482.409516;1513176482.409516;1513176482.409621;57.77324067695312;12.7678061050404;
1513176482.484754;1513176482.484754;1513176482.484861;57.77323887766391;12.7678171894914;
1513176482.529057;1513176482.529057;1513176482.529158;57.77323767779267;12.76782457359837;
1513176482.549733;1513176482.549733;1513176482.549841;57.77323647956623;12.76783195592269;
1513176482.570005;1513176482.570005;1513176482.570115;57.77323528168498;12.7678393328783;
1513176482.58654;1513176482.58654;1513176482.586642;57.77323408490538;12.76784670498778;
1513176482.600855;1513176482.600855;1513176482.60096;57.77323348729344;12.76785038846606;
1513176482.616208;1513176482.616208;1513176482.616636;57.77323229298641;12.76785774959949;
1513176482.689561;1513176482.689561;1513176482.689762;57.77323109898387;12.76786510319564;
1513176482.770262;1513176482.770262;1513176482.771699;57.77322990489109;12.76787244868815;
1513176482.849449;1513176482.849449;1513176482.849563;57.77322871253293;12.76787978894308;
1513176482.921936;1513176482.921936;1513176482.922041;57.77322752245983;12.76788712379775;
1513176482.93551;1513176482.93551;1513176482.935612;57.77322633356429;12.76789445158755;
1513176482.950358;1513176482.950358;1513176482.950421;57.77322514547714;12.76790177194935;
1513176482.961827;1513176482.961827;1513176482.962549;57.77322395689256;12.76790908297213;
1513176482.974261;1513176482.974261;1513176482.974322;57.77322276802879;12.76791638400218;
1513176482.983151;1513176482.983151;1513176482.983319;57.77322157927041;12.76792367615935;
1513176482.995692;1513176482.995692;1513176482.995929;57.77322039158427;12.76793095776965;
1513176483.022483;1513176483.022483;1513176483.02277;57.7732192038668;12.76793822930008;
1513176483.062615;1513176483.062615;1513176483.062718;57.77321801704101;12.76794549003349;
1513176483.133946;1513176483.133946;1513176483.134059;57.77321683063597;12.7679527401029;
1513176483.202699;1513176483.202699;1513176483.2028;57.77321564536354;12.76795998026842;
1513176483.282607;1513176483.282607;1513176483.282709;57.77321446072158;12.76796720952163;
1513176483.337536;1513176483.337536;1513176483.337646;57.77321268573779;12.76797803628721;
1513176483.353063;1513176483.353063;1513176483.35322;57.77321150362675;12.76798524191917;
1513176483.364726;1513176483.364726;1513176483.364888;57.77321032765213;12.76799243829678;
1513176483.389168;1513176483.389168;1513176483.38933;57.77320857329502;12.76800321259743;
1513176483.452414;1513176483.452414;1513176483.452517;57.77320682558715;12.76801395816569;
1513176483.532564;1513176483.532564;1513176483.532791;57.77320566404278;12.76802110246376;
1513176483.612765;1513176483.612765;1513176483.612926;57.77320450637268;12.76802822873982;
1513176483.652735;1513176483.652735;1513176483.652848;57.77320392915522;12.76803178335655;
1513176483.73274;1513176483.73274;1513176483.73285;57.77320277777211;12.76803887667409;
1513176483.799864;1513176483.799864;1513176483.799964;57.77320163020744;12.76804594535105;
1513176483.810786;1513176483.810786;1513176483.810887;57.77320048512912;12.76805298580422;
1513176483.821213;1513176483.821213;1513176483.821675;57.77319934403781;12.76805999910744;
