SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;groundSpeed;
1513176494.332554;1513176494.332554;1513176494.332949;10.14254;
1513176494.446004;1513176494.446004;1513176494.446172;10.15818;
1513176494.504737;1513176494.504737;1513176494.504972;10.19337;
1513176494.521276;1513176494.521276;1513176494.521403;10.20119;
1513176494.579006;1513176494.579006;1513176494.579124;10.23247;
1513176494.606496;1513176494.606496;1513176494.606599;10.23638;
1513176494.627175;1513176494.627175;1513176494.627288;10.23638;
1513176494.860639;1513176494.860639;1513176494.8629;10.30676;
1513176494.959821;1513176494.959821;1513176494.959926;10.33022;
1513176495.004488;1513176495.004488;1513176495.004605;10.35368;
1513176495.03805;1513176495.03805;1513176495.038157;10.3615;
1513176495.070599;1513176495.070599;1513176495.070718;10.4006;
1513176495.155177;1513176495.155177;1513176495.155672;10.44752;
1513176495.221949;1513176495.221949;1513176495.222076;10.47098;
1513176495.242641;1513176495.242641;1513176495.242824;10.48271;
1513176495.415122;1513176495.415122;1513176495.416591;10.54527;
1513176495.45846;1513176495.45846;1513176495.458568;10.58046;
1513176495.485036;1513176495.485036;1513176495.485143;10.58437;
1513176495.518482;1513176495.518482;1513176495.518589;10.61956;
1513176495.533508;1513176495.533508;1513176495.533624;10.63129;
1513176495.556696;1513176495.556696;1513176495.556805;10.63911;
1513176495.609893;1513176495.609893;1513176495.61001;10.63911;
1513176495.630358;1513176495.630358;1513176495.631241;10.65475;
1513176495.649299;1513176495.649299;1513176495.649407;10.64302;
1513176495.808894;1513176495.808894;1513176495.809005;10.68603;
1513176495.848357;1513176495.848357;1513176495.848483;10.66257;
1513176495.865686;1513176495.865686;1513176495.865804;10.69385;
1513176496.032004;1513176496.032004;1513176496.032112;10.69776;
1513176496.252913;1513176496.252913;1513176496.252975;10.78769;
1513176496.277874;1513176496.277874;1513176496.277943;10.78769;
1513176496.388504;1513176496.388504;1513176496.388567;10.77596;
1513176496.404281;1513176496.404281;1513176496.404404;10.82288;
1513176496.432631;1513176496.432631;1513176496.432994;10.80724;
1513176496.52722;1513176496.52722;1513176496.527325;10.82288;
1513176496.561771;1513176496.561771;1513176496.561906;10.82288;
1513176496.597906;1513176496.597906;1513176496.598428;10.84243;
1513176496.611714;1513176496.611714;1513176496.611791;10.85025;
1513176496.830756;1513176496.830756;1513176496.830865;10.948;
1513176496.886777;1513176496.886777;1513176496.886895;10.95973;
1513176497.09214;1513176497.09214;1513176497.092303;11.03402;
1513176497.183195;1513176497.183195;1513176497.183303;11.15523;
1513176497.218111;1513176497.218111;1513176497.218216;11.17869;
1513176497.23909;1513176497.23909;1513176497.246057;11.17869;
1513176497.315112;1513176497.315112;1513176497.315299;11.17869;
1513176497.594825;1513176497.594825;1513176497.598443;11.20606;
1513176497.672274;1513176497.672274;1513176497.672337;11.23734;
1513176497.716457;1513176497.716457;1513176497.716521;11.21779;
1513176497.944291;1513176497.944291;1513176497.944491;11.26862;
1513176497.980508;1513176497.980508;1513176497.980582;11.27644;
1513176497.999771;1513176497.999771;1513176497.999876;11.28035;
1513176498.015895;1513176498.015895;1513176498.015964;11.25689;
1513176498.056276;1513176498.056276;1513176498.056338;11.26471;
1513176498.519006;1513176498.519006;1513176498.52064;11.25298;
1513176498.541493;1513176498.541493;1513176498.541617;11.26471;
1513176498.55616;1513176498.55616;1513176498.557552;11.24907;
1513176498.580882;1513176498.580882;1513176498.580983;11.25689;
1513176498.658165;1513176498.658165;1513176498.658425;11.24516;
1513176498.664971;1513176498.664971;1513176498.66514;11.22952;
1513176498.719781;1513176498.719781;1513176498.719889;11.2217;
1513176498.823921;1513176498.823921;1513176498.824025;11.20997;
1513176499.005457;1513176499.005457;1513176499.005562;11.21779;
1513176499.024781;1513176499.024781;1513176499.024885;11.21779;
1513176499.063131;1513176499.063131;1513176499.063192;11.19824;
1513176499.07369;1513176499.07369;1513176499.073798;11.21779;
1513176499.201705;1513176499.201705;1513176499.201812;11.19042;
1513176499.265643;1513176499.265643;1513176499.265705;11.17087;
1513176499.292568;1513176499.292568;1513176499.292673;11.15914;
1513176499.316643;1513176499.316643;1513176499.31675;11.15523;
