SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;positionX;positionY;velocityX;velocityY;orientation;yawRate;
1513353114.29698;1513353114.29698;1513353114.297178;23.7689894082516;-7.149533349938471;7.854899251911693;0.006354237844077619;-0.2831684643829628;0.006467278076961307;
1513353114.306958;1513353114.306958;1513353114.306995;23.84442794026423;-7.171418873719754;7.85875680542124;0.006338129371519088;-0.2831037916021932;0.00645532032628434;
1513353114.316871;1513353114.316871;1513353114.316907;23.91990488248091;-7.193310448891123;7.862594138022549;0.006322054235741563;-0.2830392383989304;0.006443334886714482;
1513353114.326879;1513353114.326879;1513353114.326922;23.99542003931096;-7.215208022813725;7.866411337997049;0.006305933394041816;-0.2829748050500633;0.006431273031601182;
1513353114.336899;1513353114.336899;1513353114.33707;24.07097321577104;-7.237111543926286;7.870208494721665;0.006289770175038117;-0.2829104923197473;0.006419136781146843;
1513353114.346814;1513353114.346814;1513353114.346878;24.14656421771521;-7.259020960993779;7.873985698709478;0.006273567481421483;-0.2828463009519358;0.006406927996985114;
1513353114.356812;1513353114.356812;1513353114.356876;24.22219285184516;-7.280936223112912;7.877743041466941;0.0062573276162477;-0.282782231671966;0.006394648246647355;
1513353114.366839;1513353114.366839;1513353114.366902;24.29785892571864;-7.302857279718993;7.881480615363277;0.006241052858677681;-0.2827182851894995;0.006382299150583116;
1513353114.376806;1513353114.376806;1513353114.376875;24.37356224775801;-7.324784080587132;7.88519851345548;0.006224745223689853;-0.2826544621979937;0.006369882220145895;
1513353114.386808;1513353114.386808;1513353114.386878;24.44930262725666;-7.346716575835197;7.888896829419838;0.006208406383787501;-0.2825907633757922;0.006357398793655889;
1513353114.397088;1513353114.397088;1513353114.397163;24.52507987438433;-7.368654715927426;7.892575657429663;0.006192037963902788;-0.2825271893878556;0.006344850213149632;
1513353114.406816;1513353114.406816;1513353114.40688;24.60089380019219;-7.390598451674984;7.896235092046315;0.006175641427281079;-0.2824637408857242;0.006332237746292427;
1513353114.416894;1513353114.416894;1513353114.41693;24.67674421661649;-7.412547734237305;7.899875228121104;0.006159217981473656;-0.2824004185082613;0.006319562518098522;
1513353114.426847;1513353114.426847;1513353114.42691;24.75263093648102;-7.434502515124118;7.903496160765572;0.006142768860096109;-0.2823372228830803;0.006306825684006243;
1513353114.436904;1513353114.436904;1513353114.436966;24.82855377349998;-7.456462746194792;7.907097985236401;0.006126295197359364;-0.2822741546262402;0.00629402834847416;
1513353114.447778;1513353114.447778;1513353114.447842;24.90451254227948;-7.478428379658537;7.910680796921212;0.006109797924587435;-0.2822112143427555;0.006281171493898272;
1513353114.4579;1513353114.4579;1513353114.457937;24.98050705831859;-7.500399368075589;7.914244691205218;0.0060932781630852;-0.2821484026278165;0.006268256228509776;
1513353114.467103;1513353114.467103;1513353114.467137;25.05653713801011;-7.522375664354358;7.917789763502631;0.006076736712526722;-0.2820857200655314;0.006255283460564517;
1513353114.476793;1513353114.476793;1513353114.476857;25.13260259864032;-7.544357221753462;7.921316109163626;0.00606017434494203;-0.2820231672309257;0.006242254078440084;
1513353114.486833;1513353114.486833;1513353114.486895;25.20870325838857;-7.566343993880835;7.9248238234208;0.006043591928942414;-0.2819607446901413;0.006229169030722898;
1513353114.496783;1513353114.496783;1513353114.496846;25.28483893632675;-7.588335934691517;7.928313001371466;0.006026990293345058;-0.2818984529998341;0.006216029241220167;
1513353114.506927;1513353114.506927;1513353114.506966;25.36100945241812;-7.610332998486637;7.931783737775937;0.006010436961597184;-0.2818362927074219;0.006202878887842773;
1513353114.516843;1513353114.516843;1513353114.516908;25.43721462769993;-7.632335139270859;7.935236127570096;0.005993852860847691;-0.2817742639185434;0.006189669174086911;
1513353114.526881;1513353114.526881;1513353114.527164;25.5134542838871;-7.654342312126998;7.938670265265925;0.005977240859252919;-0.2817123672268025;0.006176401758524097;
1513353114.536877;1513353114.536877;1513353114.536939;25.58972824358549;-7.676354472464656;7.942086245104079;0.00596060335931837;-0.2816506032092173;0.006163078111167179;
